itineraire;annee;NBINDIV
S10;2013;47
S10;2014;48
S10;2015;92
S10;2016;88
S11;2013;32
S11;2014;43
S11;2015;32
S11;2016;22
S12;2013;18
S12;2014;26
S12;2015;18
S12;2016;31
S13;2013;72
S13;2014;57
S13;2015;70
S13;2016;45
S14;2013;51
S14;2014;34
S14;2015;56
S14;2016;34
S15;2013;50
S15;2014;91
S15;2015;53
S15;2016;112
S16;2013;3
S16;2014;11
S16;2015;11
S16;2016;10
S17;2013;40
S17;2014;45
S17;2015;50
S17;2016;34
S18;2013;20
S18;2014;46
S18;2015;36
S18;2016;30
S19;2013;84
S19;2014;70
S19;2015;63
S19;2016;62
S1;2013;63
S1;2014;50
S1;2015;30
S1;2016;61
S20;2013;51
S20;2014;63
S20;2015;78
S20;2016;88
S21;2013;55
S21;2014;88
S21;2015;50
S21;2016;39
S22;2013;39
S22;2014;51
S22;2015;48
S22;2016;54
S23;2013;45
S23;2014;41
S23;2015;59
S23;2016;57
S24;2013;70
S24;2014;48
S24;2015;41
S24;2016;91
S25;2013;66
S25;2014;25
S26;2015;1
S26;2016;9
S27;2013;7
S27;2014;9
S27;2015;11
S27;2016;2
S28;2013;65
S28;2014;38
S28;2015;34
S28;2016;42
S29;2013;66
S29;2014;59
S29;2015;39
S29;2016;99
S2;2013;3
S2;2014;8
S2;2015;9
S2;2016;16
S30;2014;64
S30;2015;76
S30;2016;43
S31;2013;25
S31;2014;22
S31;2015;35
S31;2016;28
S32;2013;89
S32;2014;95
S32;2015;68
S32;2016;84
S36;2015;4
S36;2016;6
S37;2016;60
S38;2016;27
S3;2013;48
S3;2014;32
S3;2016;40
S40;2013;28
S40;2014;50
S40;2015;35
S40;2016;54
S41;2013;34
S41;2014;22
S41;2015;52
S41;2016;67
S43;2014;1
S43;2015;4
S44;2015;6
S45;2013;20
S45;2014;41
S45;2015;40
S45;2016;52
S46;2013;5
S46;2015;8
S46;2016;1
S47;2013;32
S47;2015;9
S48;2013;110
S48;2014;52
S48;2015;53
S48;2016;99
S4;2013;49
S4;2014;65
S4;2015;65
S4;2016;49
S50;2013;37
S50;2014;29
S50;2015;33
S50;2016;27
S51;2013;38
S51;2014;36
S51;2015;35
S51;2016;18
S52;2013;46
S52;2014;64
S52;2015;80
S52;2016;80
S53;2013;47
S53;2014;47
S53;2015;45
S53;2016;48
S54;2013;12
S54;2014;14
S54;2015;22
S54;2016;16
S55;2013;42
S55;2014;61
S55;2015;51
S55;2016;76
S56;2013;2
S56;2015;3
S56;2016;10
S57;2013;32
S57;2014;6
S57;2015;7
S57;2016;2
S5;2013;22
S5;2014;39
S5;2015;20
S5;2016;30
S60;2013;17
S60;2014;24
S60;2015;29
S60;2016;34
S61;2013;5
S61;2014;15
S61;2015;1
S61;2016;2
S62;2013;1
S62;2014;6
S62;2015;3
S63;2013;23
S63;2014;40
S63;2015;28
S63;2016;34
S64;2013;47
S64;2015;44
S64;2016;32
S66;2015;4
S66;2016;4
S67;2013;2
S67;2015;8
S6;2013;90
S6;2014;40
S6;2015;46
S70;2013;41
S70;2014;55
S70;2015;38
S70;2016;44
S71;2013;59
S71;2014;69
S71;2015;69
S71;2016;67
S72;2013;7
S72;2015;28
S72;2016;4
S73;2013;48
S73;2014;30
S73;2015;40
S73;2016;42
S74;2013;11
S74;2014;8
S74;2015;15
S74;2016;3
S75;2013;23
S75;2014;17
S75;2015;16
S75;2016;27
S76;2013;48
S76;2016;3
S7;2013;12
S7;2014;19
S7;2015;18
S7;2016;11
S81;2015;6
S81;2016;17
S8;2013;45
S8;2014;69
S9;2013;41
S9;2014;31
S9;2015;59
S9;2016;29
