NOS	ALTI	ACDE	ACMI	BOCO	BRAN	CANN	CRYP	CULT	FOEX	FRAR	FRBA	PATU	SAAR	SAHE	TAMA	URBA
ID1	1725	0	0	0.37	0	0	0	0	0.23	0	0.4	0	0	0	0	0
ID2	1680	0	0	0.07	0	0	0.13	0	0.06	0	0.63	0.11	0	0	0	0
ID3	1660	0.19	0	0	0	0	0.12	0	0.05	0	0.5	0.09	0	0	0.04	0.02
ID4	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID5	1550	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0
ID6	1540	0.29	0	0	0	0	0.38	0	0.2	0	0.13	0	0	0	0	0
ID7	1505	0.39	0	0	0	0	0.08	0	0	0.22	0	0	0	0	0	0.31
ID8	1490	0.34	0	0	0	0	0.25	0	0	0	0.25	0.05	0	0	0	0.12
ID9	1645	0.15	0	0.04	0	0	0.34	0	0.13	0	0.35	0	0	0	0	0
ID10	1565	0.19	0	0.13	0	0	0.26	0	0	0	0.42	0	0	0	0	0
ID11	1330	0.09	0	0	0	0	0.3	0	0	0	0.61	0	0	0	0	0
ID12	1395	0	0	0	0	0	0.06	0	0.28	0	0.66	0	0	0	0	0
ID13	1480	0.19	0	0.26	0	0	0	0	0	0	0.55	0	0	0	0	0
ID14	1275	0.01	0	0	0	0	0	0	0.34	0.03	0.62	0	0	0	0	0
ID15	1230	0.05	0	0	0	0	0	0	0.07	0	0.88	0	0	0	0	0
ID16	1195	0.01	0	0	0	0	0	0	0.14	0	0.85	0	0	0	0	0
ID17	1570	0.02	0	0	0	0	0	0	0	0	0.15	0.41	0	0	0	0.42
ID18	1560	0.21	0	0	0	0	0	0	0.03	0	0.4	0.17	0	0	0	0.2
ID19	1550	0.31	0	0	0	0	0	0	0.41	0	0.16	0	0	0	0	0.12
ID20	1460	0	0	0	0	0	0	0	0.55	0	0	0.31	0	0	0	0.14
ID21	1520	0	0	0	0	0	0	0	0.18	0	0.71	0.12	0	0	0	0
ID22	1475	0.15	0	0	0	0	0.02	0	0.46	0	0.2	0	0	0	0	0.16
ID23	1415	0.25	0	0	0	0	0.62	0	0	0	0	0.05	0	0	0	0.08
ID24	1350	0.41	0	0	0	0	0.05	0	0	0	0.06	0.16	0	0	0	0.33
ID25	1250	0.45	0	0	0	0	0.51	0	0	0	0	0	0	0	0	0.04
ID26	1220	0.18	0	0	0	0	0.76	0	0	0	0	0	0	0	0	0.06
ID27	1175	0.28	0	0	0	0	0.5	0	0	0	0.12	0	0	0	0	0.1
ID28	1180	0	0	0	0	0	0.68	0	0.04	0	0	0.04	0	0	0	0.25
ID29	1115	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0.3
ID30	1110	0.49	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0.08
ID31	1150	0	0	0	0	0	0.8	0	0.04	0	0.09	0	0	0	0	0.07
ID32	1230	0.42	0	0	0	0	0.17	0	0	0	0.23	0	0	0	0	0.18
ID33	945	0.4	0	0	0	0	0.01	0	0	0	0	0.13	0	0	0	0.47
ID34	920	0.3	0	0	0	0	0.21	0	0.03	0	0	0	0	0	0	0.46
ID35	930	0.24	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0.02
ID36	980	0.12	0	0	0	0	0.82	0	0.06	0	0	0	0	0	0	0
ID37	995	0.39	0	0	0	0	0.17	0	0	0	0	0.03	0	0	0	0.41
ID38	1040	0.17	0	0	0	0	0.4	0	0.15	0	0	0	0	0	0	0.28
ID39	1050	0.23	0	0	0	0	0.66	0	0.11	0	0	0	0	0	0	0
ID40	980	0.01	0	0	0	0	0.86	0	0.13	0	0	0	0	0	0	0
ID41	930	0.03	0	0	0	0	0.94	0	0.03	0	0	0	0	0	0	0
ID42	870	0	0	0	0	0	0.82	0	0.18	0	0	0	0	0	0	0
ID43	920	0.16	0	0	0	0	0.62	0	0.08	0	0	0	0	0	0	0.15
ID44	1015	0.09	0	0	0	0	0.66	0	0.18	0	0	0	0	0	0	0.07
ID45	1090	0.4	0	0	0	0	0.24	0	0.09	0	0.25	0	0	0	0	0.01
ID46	1365	0.49	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.26
ID47	1345	0.42	0	0	0	0	0	0	0.26	0	0.21	0	0	0	0	0.11
ID48	1350	0.48	0	0	0	0	0.02	0	0	0.19	0.11	0	0	0	0	0.19
ID49	1600	0.17	0	0	0	0	0	0	0.53	0	0.23	0.08	0	0	0	0
ID50	1620	0	0	0	0	0	0	0	0.48	0	0.52	0	0	0	0	0
ID51	1620	0	0	0	0	0	0	0	0.44	0	0.56	0	0	0	0	0
ID52	1615	0	0	0	0	0	0	0	0.08	0	0.92	0	0	0	0	0
ID53	1620	0	0	0	0	0	0	0	0.29	0	0.68	0	0	0	0	0.04
ID54	1610	0.1	0	0.02	0	0	0	0	0.21	0	0.5	0.17	0	0	0	0
ID55	1595	0	0	0	0	0	0	0	0.06	0	0.94	0	0	0	0	0
ID56	1610	0	0	0	0	0	0	0	0.26	0	0.74	0	0	0	0	0
ID57	1600	0	0	0	0	0	0	0	0.36	0	0.64	0	0	0	0	0
ID58	1590	0.02	0	0	0	0	0	0	0.6	0	0.15	0.23	0	0	0	0
ID59	1580	0	0	0	0	0	0	0	0.29	0	0.71	0	0	0	0	0
ID60	1550	0	0	0	0	0	0	0	0.21	0	0.79	0	0	0	0	0
ID61	1600	0	0	0	0	0	0	0	0.26	0	0.71	0	0	0	0.03	0
ID62	1600	0.04	0	0	0	0	0	0	0.04	0	0.92	0	0	0	0	0
ID63	1620	0.07	0	0	0	0	0	0	0.72	0	0.21	0	0	0	0	0
ID64	1560	0.08	0	0	0	0	0	0	0.13	0	0.79	0	0	0	0	0
ID65	1640	0.1	0	0	0	0	0	0	0	0	0.87	0.03	0	0	0	0
ID66	1670	0.08	0	0	0	0	0	0	0.13	0	0.72	0.01	0	0	0	0.07
ID67	1620	0	0	0	0	0	0	0	0.04	0	0.72	0	0	0	0.25	0
ID68	1620	0.13	0	0.1	0	0	0	0	0.01	0	0.76	0	0	0	0	0
ID69	1650	0	0	0	0	0	0	0	0.28	0	0.72	0	0	0	0	0
ID70	1650	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID71	1650	0.01	0	0	0	0	0	0	0.15	0	0.84	0	0	0	0	0
ID72	930	0	0	0	0	0	0.1	0	0.36	0	0.54	0	0	0	0	0
ID73	900	0	0	0	0	0	0.25	0	0.39	0	0.35	0	0	0	0	0
ID74	850	0	0	0	0	0.96	0	0	0.04	0	0	0	0	0	0	0
ID75	790	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID76	820	0	0	0	0	0.22	0.21	0	0.31	0	0	0	0	0	0	0.27
ID77	880	0	0	0	0	0.46	0.07	0	0.48	0	0	0	0	0	0	0
