NOS	ACTR	CIMA	COCH	COCO	COFR	ESAS	FOMA	FRPO	GEST	HYBO	LOPU	MAMA	PADO	PEAS	PHBO	PLCU	PYJO	SATE	STPI	TEBO	TUNI	ZOBO	ZOOL
ID1	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ID2	7	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ID3	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0
ID4	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ID5	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
ID6	0	0	0	2	0	1	9	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0
ID7	1	0	0	2	0	1	7	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0
ID8	2	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0
ID9	2	0	0	4	0	14	8	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0
ID10	1	0	0	2	0	3	4	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0
ID11	2	0	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0
ID12	7	0	0	0	0	1	4	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0
ID13	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
ID14	3	0	0	2	1	5	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ID15	4	0	0	2	0	3	4	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
ID16	3	1	0	0	0	22	4	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
ID17	2	0	0	0	0	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ID18	1	0	0	0	1	8	6	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0
ID19	1	0	0	0	1	2	6	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ID20	3	0	0	0	1	1	8	0	3	0	0	0	4	0	0	0	0	2	0	0	0	0	0
ID21	1	0	0	0	0	0	13	0	6	0	0	0	0	0	0	0	0	1	0	0	0	3	0
ID22	4	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID23	5	0	0	0	1	4	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
ID24	4	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ID25	1	0	0	4	0	5	8	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0
ID26	2	0	0	4	0	3	2	0	0	0	0	0	7	0	0	4	0	1	0	0	0	0	0
ID27	4	0	0	2	1	2	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID28	2	0	0	0	0	6	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ID29	2	0	0	0	1	1	2	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0
ID30	2	0	0	2	0	3	6	0	2	0	0	0	6	0	0	5	0	2	0	0	0	2	0
ID31	1	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ID32	4	0	0	0	0	0	8	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ID33	0	0	0	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0
ID34	0	0	0	0	1	0	6	0	0	0	0	0	4	0	0	14	4	0	0	0	0	1	0
ID35	4	0	0	0	2	3	4	0	2	0	0	0	4	0	0	0	1	0	0	0	0	2	0
