"num";"ptec";"alti";"acac";"acmi";"boco";"bran";"cann";"cult";"four";"fria";"frib";"patu";"exot";"sava";"savh";"tama";"urba"
1;"TA1";1725;0;0;0,38;0;0;0;0;0,23;0;0,41;0;0;0;0;0
2;"TA2";1680;0;0;0,07;0;0;0,14;0;0,06;0;0,66;0,11;0;0;0;0
3;"TA3";1660;0,21;0;0;0;0;0,13;0;0,05;0;0,56;0,1;0;0;0,04;0,02
4;"TA4";1600;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
5;"TA5";1550;0;0;0;0;0;0;0;0;0;0,51;0;0;0;0,5;0
6;"TA6";1540;0,3;0;0;0;0;0,39;0;0,2;0;0,13;0;0;0;0;0
7;"TA7";1505;0,4;0;0;0;0;0,08;0;0;0,22;0;0;0;0;0;0,32
8;"TA8";1490;0,35;0;0;0;0;0,25;0;0;0;0,25;0,05;0;0;0;0,12
9;"TA10";1565;0,19;0;0,13;0;0;0,27;0;0;0;0,43;0;0;0;0;0
10;"TA11";1330;0,09;0;0;0;0;0,3;0;0;0;0,62;0;0;0;0;0
11;"TA12";1395;0;0;0;0;0;0,06;0;0,28;0;0,67;0;0;0;0;0
12;"TA13";1480;0,19;0;0,26;0;0;0;0;0;0;0,56;0;0;0;0;0
13;"TA14";1275;0,01;0;0;0;0;0;0;0,38;0,03;0,69;0;0;0;0;0
14;"TA15";1230;0,05;0;0;0;0;0;0;0,07;0;0,9;0;0;0;0;0
15;"TA17";1570;0,02;0;0;0;0;0;0;0;0;0,16;0,43;0;0;0;0,44
16;"TA18";1560;0,21;0;0;0;0;0;0;0,03;0;0,41;0,17;0;0;0;0,2
17;"TA19";1550;0,32;0;0;0;0;0;0;0,42;0;0,16;0;0;0;0;0,12
18;"TA20";1460;0;0;0;0;0;0;0;0,56;0;0;0,31;0;0;0;0,14
19;"TA22";1475;0,19;0;0;0;0;0,03;0;0,56;0;0,25;0;0;0;0;0,2
20;"TA23";1415;0,23;0;0;0;0;0,56;0;0;0;0;0,05;0;0;0;0,07
21;"TA24";1350;0,42;0;0;0;0;0,05;0;0;0;0,06;0,16;0;0;0;0,34
22;"TA25";1250;0,45;0;0;0;0;0,52;0;0;0;0;0;0;0;0;0,04
23;"TA26";1220;0,18;0;0;0;0;0,78;0;0;0;0;0;0;0;0;0,06
24;"TA27";1175;0,31;0;0;0;0;0,56;0;0;0;0,13;0;0;0;0;0,11
25;"TA28";1180;0;0;0;0;0;0,71;0;0,04;0;0;0,04;0;0;0;0,26
26;"TA29";1115;0;0;0;0;0;0,71;0;0;0;0;0;0;0;0;0,3
27;"TA30";1110;0,49;0;0;0;0;0;0;0;0;0,44;0;0;0;0;0,08
28;"TA31";1150;0;0;0;0;0;0,87;0;0,04;0;0,1;0;0;0;0;0,08
29;"TA32";1230;0,43;0;0;0;0;0,17;0;0;0;0,24;0;0;0;0;0,19
30;"TA33";945;0,4;0;0;0;0;0,01;0;0;0;0;0,13;0;0;0;0,47
31;"TA35";930;0,27;0;0;0;0;0,85;0;0;0;0;0;0;0;0;0,02
32;"TA36";980;0,12;0;0;0;0;0,82;0;0,06;0;0;0;0;0;0;0
33;"TA37";995;0,4;0;0;0;0;0,17;0;0;0;0;0,03;0;0;0;0,42
34;"TA38";1040;0,21;0;0;0;0;0,5;0;0,19;0;0;0;0;0;0;0,35
35;"TA39";1050;0,22;0;0;0;0;0,64;0;0,11;0;0;0;0;0;0;0
36;"TA40";980;0,01;0;0;0;0;0,88;0;0,13;0;0;0;0;0;0;0
37;"TA41";930;0,03;0;0;0;0;0,96;0;0,03;0;0;0;0;0;0;0
38;"TA42";870;0;0;0;0;0;0,83;0;0,18;0;0;0;0;0;0;0
39;"TA43";920;0,16;0;0;0;0;0,63;0;0,08;0;0;0;0;0;0;0,15
40;"TA44";1015;0,09;0;0;0;0;0,67;0;0,18;0;0;0;0;0;0;0,07
41;"TA45";1090;0,38;0;0;0;0;0,23;0;0,09;0;0,24;0;0;0;0;0,01
42;"TA46";1365;0,5;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0,27
43;"TA47";1345;0,4;0;0;0;0;0;0;0,25;0;0,2;0;0;0;0;0,11
44;"TA48";1350;0,55;0;0;0;0;0,02;0;0;0,22;0,13;0;0;0;0;0,22
45;"TA49";1600;0,17;0;0;0;0;0;0;0,54;0;0,23;0,08;0;0;0;0
