"num","ptec","ACTR","CIMA","COCH","COCO","COFR","ESAM","ESAS","FOMA","FRPO","GEST","HYBO","LOPU","MAMA","PADO","PEAS","PHBO","PHLE","PLCU","PYJO","SATE","SECA","SEMO","STPI","TEBO","TUNI","ZOBO","ZOOL"
1,"TA1",5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2,"TA2",7,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
3,"TA3",2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0
4,"TA4",5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
5,"TA5",4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
6,"TA6",0,0,0,2,0,0,1,9,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0
7,"TA7",1,0,0,2,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0
8,"TA8",2,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
9,"TA10",1,0,0,2,0,0,3,4,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0
10,"TA11",2,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
11,"TA12",7,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0
12,"TA13",2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
13,"TA14",3,0,0,2,1,0,5,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
14,"TA15",4,0,0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
15,"TA17",2,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"TA18",1,0,0,0,1,0,8,6,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
17,"TA19",1,0,0,0,1,0,2,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
18,"TA20",3,0,0,0,1,0,1,8,0,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
19,"TA22",4,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"TA23",5,0,0,0,1,0,4,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
21,"TA24",4,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
22,"TA25",1,0,0,4,0,0,5,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
23,"TA26",2,0,0,4,0,0,3,2,0,0,0,0,0,7,0,0,0,4,0,1,0,0,0,0,0,0,0
24,"TA27",4,0,0,2,1,0,2,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"TA28",2,0,0,0,0,0,6,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"TA29",2,0,0,0,1,0,1,2,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
27,"TA30",2,0,0,2,0,0,3,6,0,2,0,0,0,6,0,0,0,5,0,2,0,0,0,0,0,2,0
28,"TA31",1,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"TA32",4,0,0,0,0,0,0,8,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"TA33",0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0
31,"TA35",4,0,0,0,2,0,3,4,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0
32,"TA36",1,0,0,0,4,0,1,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0
33,"TA37",2,0,0,0,1,0,0,4,0,1,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,5,0
34,"TA38",1,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
35,"TA39",5,0,0,0,6,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0
36,"TA40",10,0,0,0,5,0,5,4,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
37,"TA41",4,0,0,6,0,0,2,4,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
38,"TA42",1,0,0,4,1,0,0,4,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
39,"TA43",7,0,0,0,1,0,3,2,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
40,"TA44",4,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
41,"TA45",3,0,0,0,0,0,0,2,0,4,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0
42,"TA46",1,0,0,0,0,0,1,6,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0
43,"TA47",2,0,0,0,0,0,2,6,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,2,0
44,"TA48",1,0,0,0,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0
45,"TA49",2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
46,"TA51",3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
47,"TA52",4,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
